"TmdbId","Servie Type","ImdbId","Backdrop Path","Poster Path","Title","Overview","Status","Tagline","Language","Popularity","Collection Id","Collection Name","Collection Poster Path","Collection Backdrop Path","Release Date","Runtime"
"180","movie","tt0181689","/qq4H9JfBKQ5DarMLI6lhUQjn9D7.jpg","/ccqpHq5tk5W4ymbSbuoy4uYOxFI.jpg","Minority Report","John Anderton is a top 'Precrime' cop in the late-21st century, when technology can predict crimes before they're committed. But Anderton becomes the quarry when another investigator targets him for a murder charge.","Released","The system is perfect until it comes after you.","en","29.272",,,,,"2002-06-20","145"
"196","movie","tt0099088","/vKp3NvqBkcjHkCHSGi6EbcP7g4J.jpg","/crzoVQnMzIrRfHtQw0tLBirNfVg.jpg","Back to the Future Part III","The final installment of the Back to the Future trilogy finds Marty digging the trusty DeLorean out of a mineshaft and looking for Doc in the Wild West of 1885. But when their time machine breaks down, the travelers are stranded in a land of spurs. More problems arise when Doc falls for pretty schoolteacher Clara Clayton, and Marty tangles with Buford Tannen.","Released","They've saved the best trip for last... But this time they may have gone too far.","en","29.473","264","Back to the Future Collection","/5Xsu2o5IsZRuuxCEVZ9nVve21FP.jpg","/AqQotqj7XOI6GjB28nhMMa8YzOT.jpg","1990-05-25","119"
"207","movie","tt0097165","/hpzQHv8cA7j2Dn2CphOFYmllXzj.jpg","/ai40gM7SUaGA6fthvsd87o8IQq4.jpg","Dead Poets Society","At an elite, old-fashioned boarding school in New England, a passionate English teacher inspires his students to rebel against convention and seize the potential of every day, courting the disdain of the stern headmaster.","Released","He was their inspiration. He made their lives extraordinary.","en","38.015",,,,,"1989-06-02","128"
"214","movie","tt0489270","/qx8Pb3nVnHLBizI9792pbRN5nnm.jpg","/9wEGgXytb6Xy26MFtDq2rsiQBLs.jpg","Saw III","Jigsaw has disappeared. Along with his new apprentice Amanda, the puppet-master behind the cruel, intricate games that have terrified a community and baffled police has once again eluded capture and vanished. While city detective scrambles to locate him, Doctor Lynn Denlon and Jeff Reinhart are unaware that they are about to become the latest pawns on his vicious chessboard.","Released","Suffering? You Haven't Seen Anything Yet...","en","47.034","656","Saw Collection","/xmC2A7qPEfiOkQC58fZh8srWQ5v.jpg","/oLfS1lOmN2KIU2IQ200SDEPVEZe.jpg","2006-10-26","108"
"215","movie","tt0432348","/1lWeIA03iGXTlDv0yzsN0wUdT9T.jpg","/gTnaTysN8HsvVQqTRUh8m35mmUA.jpg","Saw II","When a new murder victim is discovered with all the signs of Jigsaw's hand, Detective Eric Matthews begins a full investigation and apprehends Jigsaw with little effort. But for Jigsaw, getting caught is just another part of his plan. Eight more of his victims are already fighting for their lives and now it's time for Matthews to join the game.","Released","Get Me A Glass Of Water...","en","62.269","656","Saw Collection","/xmC2A7qPEfiOkQC58fZh8srWQ5v.jpg","/oLfS1lOmN2KIU2IQ200SDEPVEZe.jpg","2005-10-28","93"
"218","movie","tt0088247","/wh4ze6klUbeichAj603OKZwY1W5.jpg","/hzXSE66v6KthZ8nPoLZmsi2G05j.jpg","The Terminator","In the post-apocalyptic future, reigning tyrannical supercomputers teleport a cyborg assassin known as the ""Terminator"" back to 1984 to kill Sarah Connor, whose unborn son is destined to lead insurgents against 21st century mechanical hegemony. Meanwhile, the human-resistance movement dispatches a lone warrior to safeguard Sarah. Can he stop the virtually indestructible killing machine?","Released","Your future is in its hands.","en","49.337","528","The Terminator Collection","/kpZxdNsAV7qTdTLwKM5NLqa7GEo.jpg","/cpmbkwSxZnKO69V82A9a34tvk2E.jpg","1984-10-26","108"
"238","movie","tt0068646","/tmU7GeKVybMWFButWEGl2M4GeiP.jpg","/3bhkrj58Vtu7enYsRolD1fZdja1.jpg","The Godfather","Spanning the years 1945 to 1955, a chronicle of the fictional Italian-American Corleone crime family. When organized crime family patriarch, Vito Corleone barely survives an attempt on his life, his youngest son, Michael steps in to take care of the would-be killers, launching a campaign of bloody revenge.","Released","An offer you can't refuse.","en","121.111","230","The Godfather Collection","/zqV8MGXfpLZiFVObLxpAI7wWonJ.jpg","/3WZTxpgscsmoUk81TuECXdFOD0R.jpg","1972-03-14","175"
"240","movie","tt0071562","/poec6RqOKY9iSiIUmfyfPfiLtvB.jpg","/bMadFzhjy9T7R8J48QGq1ngWNAK.jpg","The Godfather Part II","In the continuing saga of the Corleone crime family, a young Vito Corleone grows up in Sicily and in 1910s New York. In the 1950s, Michael Corleone attempts to expand the family business into Las Vegas, Hollywood and Cuba.","Released","I don't feel I have to wipe everybody out, Tom. Just my enemies.","en","59.903","230","The Godfather Collection","/zqV8MGXfpLZiFVObLxpAI7wWonJ.jpg","/3WZTxpgscsmoUk81TuECXdFOD0R.jpg","1974-12-20","202"
"242","movie","tt0099674","/zNnjHLDtV8Ti3aworltaeaLMov4.jpg","/lm3pQ2QoQ16pextRsmnUbG2onES.jpg","The Godfather Part III","In the midst of trying to legitimize his business dealings in 1979 New York and Italy, aging mafia don, Michael Corleone seeks forgiveness for his sins while taking a young protege under his wing.","Released","All the power on earth can't change destiny.","en","53.779","230","The Godfather Collection","/zqV8MGXfpLZiFVObLxpAI7wWonJ.jpg","/3WZTxpgscsmoUk81TuECXdFOD0R.jpg","1990-12-25","162"
"253","movie","tt0070328","/v28YYcN5p9hD8PKGAeWLz0ugsfX.jpg","/39qkrjqMZs6utwNmihVImC3ghas.jpg","Live and Let Die","James Bond must investigate a mysterious murder case of a British agent in New Orleans. Soon he finds himself up against a gangster boss named Mr. Big.","Released","Roger Moore as James Bond.","en","16.14","645","James Bond Collection","/HORpg5CSkmeQlAolx3bKMrKgfi.jpg","/dOSECZImeyZldoq0ObieBE0lwie.jpg","1973-06-27","121"
