"Genre Id","Servie Tmdb Id","Servie Type"
"8","10192","movie"
"9","10192","movie"
"3","10193","movie"
"4","10193","movie"
"8","10193","movie"
"1","10195","movie"
"2","10195","movie"
"9","10195","movie"
"1","10196","movie"
"2","10196","movie"
"9","10196","movie"
"4","10201","movie"
"18","10201","movie"
"4","10202","movie"
"8","10202","movie"
"9","10202","movie"
"18","10202","movie"
"1","10204","movie"
"2","10204","movie"
"4","10204","movie"
"2","10214","movie"
"4","10214","movie"
"8","10214","movie"
"9","10214","movie"
"7","10229","movie"
"18","10229","movie"
"1","10304","movie"
"2","10304","movie"
"11","10304","movie"
"19","10304","movie"
"4","10358","movie"
"5","10367","movie"
"7","10367","movie"
"14","10367","movie"
"5","10474","movie"
"7","10474","movie"
"3","10494","movie"
"23","10494","movie"
"1","10495","movie"
"2","10495","movie"
"7","10495","movie"
"8","10495","movie"
"2","10527","movie"
"3","10527","movie"
"4","10527","movie"
"8","10527","movie"
"1","10528","movie"
"2","10528","movie"
"5","10528","movie"
"14","10528","movie"
"3","10567","movie"
"8","10567","movie"
"4","10591","movie"
"18","10591","movie"
"2","10603","movie"
"4","10603","movie"
"8","10603","movie"
"18","10603","movie"
"1","10610","movie"
"4","10610","movie"
"9","10610","movie"
"23","10610","movie"
"1","10661","movie"
"4","10661","movie"
"4","10663","movie"
"3","10681","movie"
"8","10681","movie"
"19","10681","movie"
"11","10726","movie"
"23","10726","movie"
"1","10753","movie"
"5","10753","movie"
"23","10753","movie"
"4","10757","movie"
"7","10757","movie"
"1","10764","movie"
"2","10764","movie"
"5","10764","movie"
"23","10764","movie"
"1","10771","movie"
"4","10771","movie"
"19","10771","movie"
"23","10771","movie"
"1","10788","movie"
"4","10788","movie"
"7","10788","movie"
"18","10788","movie"
"1","10796","movie"
"19","10796","movie"
"23","10796","movie"
"1","10829","movie"
"4","10829","movie"
"11","10829","movie"
"19","10829","movie"
"23","10829","movie"
"7","10867","movie"
"4","10869","movie"
"8","10869","movie"
"9","10869","movie"
"18","10869","movie"
"1","10891","movie"
"4","10891","movie"
"11","10891","movie"
"25","10891","movie"
"4","10897","movie"
"8","10897","movie"
"18","10897","movie"
"1","10923","movie"
"2","10923","movie"
"4","10923","movie"
"8","10923","movie"
"4","10947","movie"
"7","10947","movie"
"8","10947","movie"
"13","10947","movie"
"18","10947","movie"
"22","10947","movie"
"2","10996","movie"
"3","10996","movie"
"4","10996","movie"
"8","10996","movie"
"4","11011","movie"
"8","11011","movie"
"2","11024","movie"
"4","11024","movie"
"9","11024","movie"
"14","11024","movie"
"7","11036","movie"
"18","11036","movie"
"1","11069","movie"
"4","11069","movie"
"11","11069","movie"
"19","11069","movie"
"23","11069","movie"
"4","11090","movie"
"1","11127","movie"
"2","11127","movie"
"19","11127","movie"
"1","11134","movie"
"5","11134","movie"
"23","11134","movie"
"2","11158","movie"
"4","11158","movie"
"8","11158","movie"
"19","11158","movie"
"7","11162","movie"
"18","11162","movie"
"1","11230","movie"
"4","11230","movie"
"1","11231","movie"
"2","11231","movie"
"7","11231","movie"
"8","11231","movie"
"1","11237","movie"
"2","11237","movie"
"9","11237","movie"
"11","11237","movie"
"2","11238","movie"
"3","11238","movie"
"8","11238","movie"
"1","11253","movie"
"2","11253","movie"
"9","11253","movie"
"11","11253","movie"
"2","11282","movie"
"4","11282","movie"
"1","11299","movie"
"3","11299","movie"
"19","11299","movie"
"7","11321","movie"
"7","11324","movie"
"14","11324","movie"
"23","11324","movie"
"1","11358","movie"
"2","11358","movie"
"7","11358","movie"
"23","11358","movie"
"1","11411","movie"
"2","11411","movie"
"19","11411","movie"
"1","11425","movie"
"2","11425","movie"
"4","11425","movie"
"8","11425","movie"
"19","11425","movie"
"1","11430","movie"
"3","11430","movie"
"4","11430","movie"
"8","11430","movie"
"2","11451","movie"
"4","11451","movie"
"8","11451","movie"
"9","11451","movie"
"18","11451","movie"
"4","11452","movie"
"18","11452","movie"
"2","11459","movie"
"4","11459","movie"
"8","11459","movie"
"7","11518","movie"
"18","11518","movie"
"1","11636","movie"
"5","11636","movie"
"7","11636","movie"
"23","11636","movie"
"7","11652","movie"
"10","11652","movie"
"1","11665","movie"
"4","11665","movie"
"23","11665","movie"
"1","11678","movie"
"2","11678","movie"
"23","11678","movie"
"1","11679","movie"
"2","11679","movie"
"5","11679","movie"
"14","11679","movie"
"23","11679","movie"
"1","11713","movie"
"7","11713","movie"
"23","11713","movie"
"4","11763","movie"
"5","11763","movie"
"18","11763","movie"
"1","11770","movie"
"4","11770","movie"
"4","11807","movie"
"7","11807","movie"
"18","11807","movie"
"1","11841","movie"
"2","11841","movie"
"4","11852","movie"
"9","11852","movie"
"7","11854","movie"
"18","11854","movie"
"4","11887","movie"
"7","11887","movie"
"8","11887","movie"
"13","11887","movie"
"18","11887","movie"
"5","11917","movie"
"11","11917","movie"
"23","11917","movie"
"1","11918","movie"
"4","11918","movie"
"19","11918","movie"
"2","11970","movie"
"3","11970","movie"
"4","11970","movie"
"8","11970","movie"
"9","11970","movie"
"18","11970","movie"
"1","12113","movie"
"7","12113","movie"
"23","12113","movie"
"2","12129","movie"
"4","12129","movie"
"8","12129","movie"
"9","12129","movie"
"1","12207","movie"
"4","12207","movie"
"2","12222","movie"
"3","12222","movie"
"4","12222","movie"
"8","12222","movie"
"9","12222","movie"
"1","12259","movie"
"1","12273","movie"
"4","12273","movie"
"1","12279","movie"
"2","12279","movie"
"4","12279","movie"
"8","12279","movie"
"19","12279","movie"
"7","12405","movie"
"18","12405","movie"
"2","12444","movie"
"9","12444","movie"
"2","12445","movie"
"9","12445","movie"
"3","12477","movie"
"7","12477","movie"
"24","12477","movie"
"4","12536","movie"
"8","12536","movie"
"22","12536","movie"
"1","12697","tv"
"2","12697","tv"
"3","12697","tv"
"9","12697","tv"
"19","12697","tv"
"1","12971","tv"
"2","12971","tv"
"3","12971","tv"
"9","12971","tv"
"19","12971","tv"
"2","13053","movie"
"3","13053","movie"
"4","13053","movie"
"8","13053","movie"
"3","13151","movie"
"8","13151","movie"
"11","13151","movie"
"14","13151","movie"
"11","13186","movie"
"23","13186","movie"
"2","13335","movie"
"4","13335","movie"
"7","13363","movie"
"19","13363","movie"
"14","13448","movie"
"23","13448","movie"
"7","13466","movie"
"8","13466","movie"
"11","13474","movie"
"23","13474","movie"
"1","13475","movie"
"2","13475","movie"
"19","13475","movie"
"4","13649","movie"
"7","13649","movie"
"8","13649","movie"
"13","13649","movie"
"18","13649","movie"
"22","13649","movie"
"4","13680","movie"
"8","13680","movie"
"3","13683","movie"
"8","13683","movie"
"1","13804","movie"
"5","13804","movie"
"7","13804","movie"
"23","13804","movie"
"1","13809","movie"
"5","13809","movie"
"23","13809","movie"
"3","13916","tv"
"9","13916","tv"
"14","13916","tv"
"19","13916","tv"
"3","13929","movie"
"8","13929","movie"
"4","13986","movie"
"7","13986","movie"
"18","13986","movie"
"3","14069","movie"
"7","14069","movie"
"9","14069","movie"
"19","14069","movie"
"1","14070","movie"
"18","14070","movie"
"23","14070","movie"
"4","14071","movie"
"7","14071","movie"
"18","14071","movie"
"4","14072","movie"
"7","14072","movie"
"18","14072","movie"
"7","14073","movie"
"10","14073","movie"
"18","14073","movie"
"7","14134","movie"
"4","14136","movie"
"8","14136","movie"
"9","14136","movie"
"1","14140","movie"
"2","14140","movie"
"4","14140","movie"
"8","14140","movie"
"18","14140","movie"
"2","14160","movie"
"3","14160","movie"
"4","14160","movie"
"8","14160","movie"
"1","14161","movie"
"2","14161","movie"
"19","14161","movie"
"7","14162","movie"
"18","14162","movie"
"7","14163","movie"
"4","14165","movie"
"8","14165","movie"
"18","14165","movie"
"1","14193","movie"
"18","14193","movie"
"1","14194","movie"
"5","14194","movie"
